"metric","category","clip_id","method","status","reason"
"temporal","scrolling","scrolling_05","optical_flow","ok",
"temporal","scrolling","scrolling_05","proposed","ok",
"temporal","scrolling","scrolling_06","frame_wise","ok",
"temporal","scrolling","scrolling_06","optical_flow","ok",
"temporal","scrolling","scrolling_06","proposed","ok",
"temporal","scrolling","scrolling_07","frame_wise","ok",
"temporal","scrolling","scrolling_07","optical_flow","ok",
"temporal","scrolling","scrolling_07","proposed","ok",
"temporal","scrolling","scrolling_08","frame_wise","ok",
"temporal","scrolling","scrolling_08","optical_flow","ok",
"temporal","scrolling","scrolling_08","proposed","ok",
"temporal","scrolling","scrolling_09","frame_wise","ok",
"temporal","scrolling","scrolling_09","optical_flow","ok",
"temporal","scrolling","scrolling_09","proposed","ok",
"temporal","scrolling","scrolling_10","frame_wise","ok",
"temporal","scrolling","scrolling_10","optical_flow","ok",
"temporal","scrolling","scrolling_10","proposed","ok",
"temporal","static","static_01","frame_wise","ok",
"temporal","static","static_01","optical_flow","ok",
"temporal","static","static_01","proposed","ok",
"temporal","static","static_02","frame_wise","ok",
"temporal","static","static_02","optical_flow","ok",
"temporal","static","static_02","proposed","ok",
"temporal","static","static_03","frame_wise","ok",
"temporal","static","static_03","optical_flow","ok",
"temporal","static","static_03","proposed","ok",
"temporal","static","static_04","frame_wise","ok",
"temporal","static","static_04","optical_flow","ok",
"temporal","static","static_04","proposed","ok",
"temporal","static","static_05","frame_wise","ok",
"temporal","static","static_05","optical_flow","ok",
"temporal","static","static_05","proposed","ok",
"temporal","static","static_06","frame_wise","ok",
"temporal","static","static_06","optical_flow","ok",
"temporal","static","static_06","proposed","ok",
"temporal","static","static_07","frame_wise","ok",
"temporal","static","static_07","optical_flow","ok",
"temporal","static","static_07","proposed","ok",
"temporal","static","static_08","frame_wise","ok",
"temporal","static","static_08","optical_flow","ok",
"temporal","static","static_08","proposed","ok",
"temporal","static","static_09","frame_wise","ok",
"temporal","static","static_09","optical_flow","ok",
"temporal","static","static_09","proposed","ok",
"temporal","static","static_10","frame_wise","ok",
"temporal","static","static_10","optical_flow","ok",
"temporal","static","static_10","proposed","ok",
"temporal","weak_border","weak_border_01","frame_wise","ok",
"temporal","weak_border","weak_border_01","optical_flow","ok",
"temporal","weak_border","weak_border_01","proposed","ok",
"temporal","weak_border","weak_border_02","frame_wise","ok",
"temporal","weak_border","weak_border_02","optical_flow","ok",
"temporal","weak_border","weak_border_02","proposed","ok",
"temporal","weak_border","weak_border_03","frame_wise","ok",
"temporal","weak_border","weak_border_03","optical_flow","ok",
"temporal","weak_border","weak_border_03","proposed","ok",
"temporal","weak_border","weak_border_04","frame_wise","ok",
"temporal","weak_border","weak_border_04","optical_flow","ok",
"temporal","weak_border","weak_border_04","proposed","ok",
"temporal","weak_border","weak_border_05","frame_wise","ok",
"temporal","weak_border","weak_border_05","optical_flow","ok",
"temporal","weak_border","weak_border_05","proposed","ok",
"temporal","weak_border","weak_border_06","frame_wise","ok",
"temporal","weak_border","weak_border_06","optical_flow","ok",
"temporal","weak_border","weak_border_06","proposed","ok",
"temporal","weak_border","weak_border_07","frame_wise","ok",
"temporal","weak_border","weak_border_07","optical_flow","ok",
"temporal","weak_border","weak_border_07","proposed","ok",
"temporal","weak_border","weak_border_08","frame_wise","ok",
"temporal","weak_border","weak_border_08","optical_flow","ok",
"temporal","weak_border","weak_border_08","proposed","ok",
"temporal","weak_border","weak_border_09","frame_wise","ok",
"temporal","weak_border","weak_border_09","optical_flow","ok",
"temporal","weak_border","weak_border_09","proposed","ok",
"temporal","weak_border","weak_border_10","frame_wise","ok",
"temporal","weak_border","weak_border_10","optical_flow","ok",
"temporal","weak_border","weak_border_10","proposed","ok",
"detail","hard","hard_01","frame_wise","ok",
"detail","hard","hard_01","optical_flow","ok",
"detail","hard","hard_01","proposed","ok",
"detail","hard","hard_02","frame_wise","ok",
"detail","hard","hard_02","optical_flow","ok",
"detail","hard","hard_02","proposed","ok",
"detail","hard","hard_03","frame_wise","ok",
"detail","hard","hard_03","optical_flow","ok",
"detail","hard","hard_03","proposed","ok",
"detail","hard","hard_04","frame_wise","ok",
"detail","hard","hard_04","optical_flow","ok",
"detail","hard","hard_04","proposed","ok",
"detail","hard","hard_05","frame_wise","ok",
"detail","hard","hard_05","optical_flow","ok",
"detail","hard","hard_05","proposed","ok",
"detail","hard","hard_06","frame_wise","ok",
"detail","hard","hard_06","optical_flow","ok",
"detail","hard","hard_06","proposed","ok",
"detail","hard","hard_07","frame_wise","ok",
"detail","hard","hard_07","optical_flow","ok",
"detail","hard","hard_07","proposed","ok",
"detail","hard","hard_08","frame_wise","ok",
"detail","hard","hard_08","optical_flow","ok",
"detail","hard","hard_08","proposed","ok",
"detail","hard","hard_09","frame_wise","ok",
"detail","hard","hard_09","optical_flow","ok",
"detail","hard","hard_09","proposed","ok",
"detail","hard","hard_10","frame_wise","ok",
"detail","hard","hard_10","optical_flow","ok",
"detail","hard","hard_10","proposed","ok",
"detail","screen_video","screen_video_01","frame_wise","ok",
"detail","screen_video","screen_video_01","optical_flow","ok",
"detail","screen_video","screen_video_01","proposed","ok",
"detail","screen_video","screen_video_02","frame_wise","ok",
"detail","screen_video","screen_video_02","optical_flow","ok",
"detail","screen_video","screen_video_02","proposed","ok",
"detail","screen_video","screen_video_03","frame_wise","ok",
"detail","screen_video","screen_video_03","optical_flow","ok",
"detail","screen_video","screen_video_03","proposed","ok",
"detail","screen_video","screen_video_04","frame_wise","ok",
"detail","screen_video","screen_video_04","optical_flow","ok",
"detail","screen_video","screen_video_04","proposed","ok",
"detail","screen_video","screen_video_05","frame_wise","ok",
"detail","screen_video","screen_video_05","optical_flow","ok",
"detail","screen_video","screen_video_05","proposed","ok",
"detail","screen_video","screen_video_06","frame_wise","ok",
"detail","screen_video","screen_video_06","optical_flow","ok",
"detail","screen_video","screen_video_06","proposed","ok",
"detail","screen_video","screen_video_07","frame_wise","ok",
"detail","screen_video","screen_video_07","optical_flow","ok",
"detail","screen_video","screen_video_07","proposed","ok",
"detail","screen_video","screen_video_08","frame_wise","ok",
"detail","screen_video","screen_video_08","optical_flow","ok",
"detail","screen_video","screen_video_08","proposed","ok",
"detail","screen_video","screen_video_09","frame_wise","ok",
"detail","screen_video","screen_video_09","optical_flow","ok",
"detail","screen_video","screen_video_09","proposed","ok",
"detail","screen_video","screen_video_10","frame_wise","ok",
"detail","screen_video","screen_video_10","optical_flow","ok",
"detail","screen_video","screen_video_10","proposed","ok",
"detail","scrolling","scrolling_01","frame_wise","ok",
"detail","scrolling","scrolling_01","optical_flow","ok",
"detail","scrolling","scrolling_01","proposed","ok",
"detail","scrolling","scrolling_02","frame_wise","ok",
"detail","scrolling","scrolling_02","optical_flow","ok",
"detail","scrolling","scrolling_02","proposed","ok",
"detail","scrolling","scrolling_03","frame_wise","ok",
"detail","scrolling","scrolling_03","optical_flow","ok",
"detail","scrolling","scrolling_03","proposed","ok",
"detail","scrolling","scrolling_04","frame_wise","ok",
