category,clip_id,method,metric,status,reason,sampled_frames,rows,ok_rows,fft_angle_separation_deg_mean,fft_angle_separation_deg_p50,fft_angle_separation_deg_p95,fft_angle_separation_deg_max,fft_orthogonality_error_deg_mean,fft_orthogonality_error_deg_p50,fft_orthogonality_error_deg_p95,fft_orthogonality_error_deg_max,fft_axis_alignment_error_deg_mean,fft_axis_alignment_error_deg_p50,fft_axis_alignment_error_deg_p95,fft_axis_alignment_error_deg_max,fft_primary_weight_share_mean,fft_primary_weight_share_p50,fft_primary_weight_share_p95,fft_primary_weight_share_max,fft_peak_count_mean,fft_peak_count_p50,fft_peak_count_p95,fft_peak_count_max,interpretation,initialization_frame_excluded,video_frame_count
screen_video,screen_video_07,proposed,frequency,ok,,9,9,9,85.22222222222223,84.0,90.0,90.0,4.777777777777778,6.0,9.999999999999998,12.0,3.0555555555555554,3.0,5.8,6.0,0.032961163037598,0.03604544703914734,0.040855919113863784,0.04094019284862174,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_08,frame_wise,frequency,ok,,9,9,9,78.88888888888889,82.0,85.2,86.0,11.11111111111111,8.0,20.999999999999996,25.0,7.0,7.0,11.899999999999999,12.5,0.02819869451767331,0.02345963108823591,0.05099395708860236,0.05962660091780365,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_08,optical_flow,frequency,ok,,9,9,9,79.88888888888889,84.0,88.4,90.0,10.11111111111111,6.0,23.4,25.0,6.833333333333333,7.5,12.8,13.0,0.03285126861837583,0.02751701430723225,0.05376377461221583,0.053991154389279906,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_08,proposed,frequency,ok,,9,9,9,86.33333333333333,87.0,89.6,90.0,3.6666666666666665,3.0,8.2,9.0,6.388888888888889,4.0,14.1,14.5,0.02773384601360993,0.028094285631308964,0.04451991071388793,0.0524161755837812,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_09,frame_wise,frequency,ok,,9,9,9,88.22222222222223,88.0,90.0,90.0,1.7777777777777777,2.0,3.0,3.0,0.8888888888888888,1.0,1.5,1.5,0.04374925915165218,0.04148017226547603,0.05299304153276426,0.05346295618168802,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_09,optical_flow,frequency,ok,,9,9,9,74.88888888888889,72.0,86.8,90.0,15.11111111111111,18.0,23.6,24.0,8.222222222222221,9.0,11.8,12.0,0.04183603908638957,0.03762212459740284,0.05460332659498039,0.05589531703665035,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_09,proposed,frequency,ok,,9,9,9,88.33333333333333,88.0,90.0,90.0,1.6666666666666667,2.0,3.0,3.0,0.8333333333333334,1.0,1.5,1.5,0.043643892353181266,0.04322399909830765,0.05296104638025344,0.05430317654280107,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_10,frame_wise,frequency,ok,,9,9,9,81.55555555555556,86.0,88.6,89.0,8.444444444444445,4.0,23.799999999999997,25.0,7.888888888888889,4.5,22.199999999999996,26.0,0.020311702238405793,0.020300198625813927,0.024995781534262306,0.025767764370152015,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_10,optical_flow,frequency,ok,,9,9,9,80.11111111111111,80.0,90.0,90.0,9.88888888888889,10.0,23.4,25.0,9.5,7.5,22.299999999999997,25.5,0.021003315119653046,0.021030306034111972,0.02488210144048643,0.026072514364213765,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_10,proposed,frequency,ok,,9,9,9,84.44444444444444,86.0,88.0,88.0,5.555555555555555,4.0,13.399999999999997,17.0,3.888888888888889,2.0,8.8,9.0,0.026583730231071426,0.022868518154119354,0.04356711671864862,0.0449388442392777,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
